ID Name
hsa01521 "EGFR tyrosine kinase inhibitor resistance"
hsa01522 "Endocrine resistance"
hsa01523 "Antifolate resistance"
hsa01524 "Platinum drug resistance"
hsa03013 "RNA transport"
hsa03015 "mRNA surveillance pathway"
hsa03018 "RNA degradation"
hsa03440 "Homologous recombination"
hsa03460 "Fanconi anemia pathway"
hsa04010 "MAPK signaling pathway"
hsa04012 "ErbB signaling pathway"
hsa04014 "Ras signaling pathway"
hsa04015 "Rap1 signaling pathway"
hsa04020 "Calcium signaling pathway"
hsa04022 "cGMP-PKG signaling pathway"
hsa04024 "cAMP signaling pathway"
hsa04060 "Cytokine-cytokine receptor interaction"
hsa04061 "Viral protein interaction with cytokine and cytokine receptor"
hsa04062 "Chemokine signaling pathway"
hsa04064 "NF-kappa B signaling pathway"
hsa04066 "HIF-1 signaling pathway"
hsa04068 "FoxO signaling pathway"
hsa04071 "Sphingolipid signaling pathway"
hsa04072 "Phospholipase D signaling pathway"
hsa04080 "Neuroactive ligand-receptor interaction"
hsa04110 "Cell cycle"
hsa04114 "Oocyte meiosis"
hsa04115 "p53 signaling pathway"
hsa04122 "Sulfur relay system"
hsa04136 Autophagy
hsa04137 Mitophagy
hsa04141 "Protein processing in endoplasmic reticulum"
hsa04150 "mTOR signaling pathway"
hsa04151 "PI3K-Akt signaling pathway"
hsa04152 "AMPK signaling pathway"
hsa04210 Apoptosis
hsa04211 "Longevity regulating pathway"
hsa04216 Ferroptosis
hsa04217 Necroptosis
hsa04218 "Cellular senescence"
hsa04261 "Adrenergic signaling in cardiomyocytes"
hsa04270 "Vascular smooth muscle contraction"
hsa04310 "Wnt signaling pathway"
hsa04330 "Notch signaling pathway"
hsa04340 "Hedgehog signaling pathway"
hsa04350 "TGF-beta signaling pathway"
hsa04360 "Axon guidance"
hsa04370 "VEGF signaling pathway"
hsa04371 "Apelin signaling pathway"
hsa04380 "Osteoclast differentiation"
hsa04390 "Hippo signaling pathway"
hsa04510 "Focal adhesion"
hsa04512 "ECM-receptor interaction"
hsa04514 "Cell adhesion molecules (CAMs)"
hsa04520 "Adherens junction"
hsa04530 "Tight junction"
hsa04540 "Gap junction"
hsa04550 "Signaling pathways regulating pluripotency of stem cells"
hsa04610 "Complement and coagulation cascades"
hsa04611 "Platelet activation"
hsa04612 "Antigen processing and presentation"
hsa04614 "Renin-angiotensin system"
hsa04620 "Toll-like receptor signaling pathway"
hsa04621 "NOD-like receptor signaling pathway"
hsa04622 "RIG-I-like receptor signaling pathway"
hsa04623 "Cytosolic DNA-sensing pathway"
hsa04625 "C-type lectin receptor signaling pathway"
hsa04630 "JAK-STAT signaling pathway"
hsa04650 "Natural killer cell mediated cytotoxicity"
hsa04657 "IL-17 signaling pathway"
hsa04658 "Th1 and Th2 cell differentiation"
hsa04659 "Th17 cell differentiation"
hsa04660 "T cell receptor signaling pathway"
hsa04662 "B cell receptor signaling pathway"
hsa04664 "Fc epsilon RI signaling pathway"
hsa04666 "Fc gamma R-mediated phagocytosis"
hsa04668 "TNF signaling pathway"
hsa04670 "Leukocyte transendothelial migration"
hsa04672 "Intestinal immune network for IgA production"
hsa04710 "Circadian rhythm"
hsa04713 "Circadian entrainment"
hsa04714 Thermogenesis
hsa04720 "Long-term potentiation"
hsa04722 "Neurotrophin signaling pathway"
hsa04723 "Retrograde endocannabinoid signaling"
hsa04724 "Glutamatergic synapse"
hsa04725 "Cholinergic synapse"
hsa04726 "Serotonergic synapse"
hsa04727 "GABAergic synapse"
hsa04728 "Dopaminergic synapse"
hsa04730 "Long-term depression"
hsa04740 "Olfactory transduction"
hsa04742 "Taste transduction"
hsa04744 Phototransduction
hsa04750 "Inflammatory mediator regulation of TRP channels"
hsa04810 "Regulation of actin cytoskeleton"
hsa04910 "Insulin signaling pathway"
hsa04911 "Insulin secretion"
hsa04912 "GnRH signaling pathway"
hsa04913 "Ovarian steroidogenesis"
hsa04914 "Progesterone-mediated oocyte maturation"
hsa04915 "Estrogen signaling pathway"
hsa04916 Melanogenesis
hsa04917 "Prolactin signaling pathway"
hsa04918 "Thyroid hormone synthesis"
hsa04919 "Thyroid hormone signaling pathway"
hsa04920 "Adipocytokine signaling pathway"
hsa04921 "Oxytocin signaling pathway"
hsa04922 "Glucagon signaling pathway"
hsa04923 "Regulation of lipolysis in adipocytes"
hsa04924 "Renin secretion"
hsa04925 "Aldosterone synthesis and secretion"
hsa04926 "Relaxin signaling pathway"
hsa04927 "Cortisol synthesis and secretion"
hsa04928 "Parathyroid hormone synthesis, secretion and action"
hsa04930 "Type II diabetes mellitus"
hsa04931 "Insulin resistance"
hsa04932 "Non-alcoholic fatty liver disease (NAFLD)"
hsa04933 "AGE-RAGE signaling pathway in diabetic complications"
hsa04934 "Cushing syndrome"
hsa04935 "Growth hormone synthesis, secretion and action"
hsa04940 "Type I diabetes mellitus"
hsa04950 "Maturity onset diabetes of the young"
hsa04960 "Aldosterone-regulated sodium reabsorption"
hsa04961 "Endocrine and other factor-regulated calcium reabsorption"
hsa04962 "Vasopressin-regulated water reabsorption"
hsa04970 "Salivary secretion"
hsa04971 "Gastric acid secretion"
hsa04972 "Pancreatic secretion"
hsa04973 "Carbohydrate digestion and absorption"
hsa04976 "Bile secretion"
hsa04978 "Mineral absorption"
hsa04979 "Cholesterol metabolism"
hsa05010 "Alzheimer disease"
hsa05012 "Parkinson disease"
hsa05014 "Amyotrophic lateral sclerosis (ALS)"
hsa05016 "Huntington disease"
hsa05017 "Spinocerebellar ataxia"
hsa05020 "Prion diseases"
hsa05030 "Cocaine addiction"
hsa05031 "Amphetamine addiction"
hsa05032 "Morphine addiction"
hsa05034 Alcoholism
hsa05100 "Bacterial invasion of epithelial cells"
hsa05110 "Vibrio cholerae infection"
hsa05120 "Epithelial cell signaling in Helicobacter pylori infection"
hsa05130 "Pathogenic Escherichia coli infection"
hsa05131 Shigellosis
hsa05132 "Salmonella infection"
hsa05133 Pertussis
hsa05134 Legionellosis
hsa05135 "Yersinia infection"
hsa05140 Leishmaniasis
hsa05142 "Chagas disease (American trypanosomiasis)"
hsa05143 "African trypanosomiasis"
hsa05144 Malaria
hsa05145 Toxoplasmosis
hsa05146 Amoebiasis
hsa05150 "Staphylococcus aureus infection"
hsa05152 Tuberculosis
hsa05160 "Hepatitis C"
hsa05161 "Hepatitis B"
hsa05162 Measles
hsa05163 "Human cytomegalovirus infection"
hsa05164 "Influenza A"
hsa05165 "Human papillomavirus infection"
hsa05166 "Human T-cell leukemia virus 1 infection"
hsa05167 "Kaposi sarcoma-associated herpesvirus infection"
hsa05168 "Herpes simplex virus 1 infection"
